k,x1,x2,x3,x4,u1,u2,signed_dist,cbf_relax,cbf_margin
0,6,-1,0,0,-0.8,2,0.219804,0,-4.44089e-16
1,5.6,2.22045e-16,-0.8,2,-0.422222,-3,0.541641,0,-4.44089e-16
2,4.58889,0.5,-1.22222,-1,0.923245,1.52684,0.0117958,0,0
3,3.82829,0.26342,-0.298978,0.52684,-0.398361,-0.97375,0.137007,0,-2.22045e-16
4,3.33013,0.303385,-0.697339,-0.446911,1.04226,1.48663,0.0838322,0,4.44089e-16
5,3.15392,0.59979,0.344923,1.03972,-2.54306,-2.51679,0.0818546,0,-8.88178e-16
6,2.22732,0.381118,-2.19814,-1.47707,-0.0291782,1.09595,-0.331377,0,1.90405
7,0.0145891,-0.547974,-2.22732,-0.381119,2.21273,0.929092,1.7451,0,0.787275
8,-1.10636,-0.464547,-0.0145902,0.547973,1.12095,-0.0834267,2.83616,0,1.87905
9,-0.560477,0.0417134,1.10636,0.464547,-0.545886,-0.50626,2.26076,0,2.45411
10,0.272943,0.25313,0.560478,-0.0417131,-0.83342,-0.211417,1.4414,0,2.16658
11,0.416711,0.105709,-0.272943,-0.25313,-0.143768,0.147421,1.28597,0,2.85258
12,0.071884,-0.0737108,-0.41671,-0.105709,0.344826,0.179419,1.62923,0,2.65517
13,-0.172413,-0.0897097,-0.0718841,0.0737107,0.244297,0.015999,1.87392,0,2.7557
14,-0.122149,-0.00799953,0.172413,0.0897097,-0.0502644,-0.0817102,1.82216,0,2.91829
15,0.0251322,0.0408551,0.122149,0.00799957,-0.147281,-0.0488547,1.6752,0,2.85272
16,0.0736406,0.0244274,-0.0251322,-0.0408551,-0.0485084,0.0164277,1.62648,0,2.95149
17,0.0242542,-0.00821387,-0.0736405,-0.0244274,0.0493863,0.0326412,1.67576,0,2.95061
18,-0.0246932,-0.0163206,-0.0242542,0.00821386,0.0489474,0.00810677,1.72475,0,2.95105
19,-0.0244737,-0.00405339,0.0246931,0.0163206,-0.000219428,-0.0122672,1.72448,0,2.98773
20,0.000109714,0.00613362,0.0244737,0.00405339,-0.0245834,-0.010187,1.6999,0,2.97542
21,0.0122917,0.00509351,-0.000109702,-0.00613362,-0.012182,0.00104011,1.68771,0,2.98782
22,0.00609101,-0.000520053,-0.0122917,-0.00509351,0.0062007,0.00561356,1.69391,0,2.9938
23,-0.00310035,-0.00280678,-0.00609102,0.00052005,0.00919137,0.00228673,1.7031,0,2.99081
24,-0.00459569,-0.00114337,0.00310035,0.00280678,0.00149534,-0.00166341,1.7046,0,2.99834
25,-0.00074767,0.000831708,0.00459569,0.00114337,-0.00384801,-0.00197507,1.70075,0,2.99615
26,0.00192401,0.000987538,0.000747672,-0.000831707,-0.00267168,-0.000155831,1.69808,0,2.99733
27,0.00133584,7.79157e-05,-0.00192401,-0.000987538,0.000588167,0.000909622,1.69866,0,2.99909
28,-0.000294084,-0.000454812,-0.00133584,-7.79162e-05,0.00162992,0.000532727,1.70029,0,2.99837
29,-0.000814963,-0.000266364,0.000294083,0.000454811,0.00052088,-0.000188447,1.70081,0,2.99948
30,-0.00026044,9.42237e-05,0.000814963,0.000266364,-0.000554522,-0.000360588,1.70026,0,2.99945
31,0.000277261,0.000180294,0.00026044,-9.42235e-05,-0.000537702,-8.60704e-05,1.69972,0,2.99946
32,0.000268851,4.30353e-05,-0.000277261,-0.000180294,8.41003e-06,0.000137259,1.69973,0,2.99986
33,-4.20502e-06,-6.86294e-05,-0.000268851,-4.30353e-05,0.000273056,0.000111665,1.7,0,2.99973
34,-0.000136528,-5.58324e-05,4.20488e-06,6.86293e-05,0.000132323,-1.27969e-05,1.70014,0,2.99987
35,-6.61616e-05,6.39847e-06,0.000136528,5.58324e-05,-7.03664e-05,-6.22308e-05,1.70007,0,2.99993
36,3.51832e-05,3.11154e-05,6.61617e-05,-6.39844e-06,-0.000101345,-2.4717e-05,1.69996,0,2.9999
37,5.06725e-05,1.23585e-05,-3.51832e-05,-3.11154e-05,-1.54893e-05,1.87569e-05,1.69995,0,2.99998
38,7.74466e-06,-9.37847e-06,-5.06725e-05,-1.23585e-05,4.29278e-05,2.1737e-05,1.69999,0,2.99996
39,-2.14639e-05,-1.08685e-05,-7.74468e-06,9.37846e-06,2.92086e-05,1.49004e-06,1.70002,0,2.99997
40,-1.46043e-05,-7.45021e-07,2.14639e-05,1.08685e-05,-6.85959e-06,-1.01235e-05,1.70001,0,2.99999
41,3.4298e-06,5.06174e-06,1.46043e-05,7.45026e-07,-1.80341e-05,-5.80676e-06,1.7,0,2.99998
42,9.01706e-06,2.90338e-06,-3.42979e-06,-5.06174e-06,-5.58726e-06,2.15835e-06,1.69999,0,2.99999
43,2.79364e-06,-1.07918e-06,-9.01706e-06,-2.90339e-06,6.22342e-06,3.98256e-06,1.7,0,2.99999
44,-3.11171e-06,-1.99128e-06,-2.79364e-06,1.07917e-06,0,0,1.7,0,0
