k,disk,cx,cy,r
0,0,-7,0.02,1
0,1,-4.18522,1.7588,0.9
0,2,-3.76083,-1.64735,0.9
1,0,-6.99409,0.0184212,1
1,1,-4.14779,1.6573,0.9
1,2,-3.73682,-1.59826,0.9
2,0,-6.98871,0.0139341,1
2,1,-4.11544,1.53825,0.9
2,2,-3.72042,-1.5594,0.9
3,0,-6.98433,0.00724716,1
3,1,-4.09013,1.42002,0.9
3,2,-3.71184,-1.51141,0.9
4,0,-6.98136,-0.00058399,1
4,1,-4.07268,1.3206,0.9
4,2,-3.71008,-1.43925,0.9
5,0,-6.98005,-0.00832294,1
5,1,-4.06271,1.24911,0.9
5,2,-3.71304,-1.33922,0.9
6,0,-6.98052,-0.0147479,1
6,1,-4.05863,1.20156,0.9
6,2,-3.71789,-1.22074,0.9
7,0,-6.98274,-0.0188444,1
7,1,-4.05792,1.16268,0.9
7,2,-3.72149,-1.10192,0.9
8,0,-6.98649,-0.0199659,1
8,1,-4.05754,1.11313,0.9
8,2,-3.72091,-1.001,0.9
9,0,-6.99145,-0.0179352,1
9,1,-4.05439,1.0386,0.9
9,2,-3.71388,-0.927836,0.9
10,0,-6.99718,-0.0130729,1
10,1,-4.04581,0.936501,0.9
10,2,-3.69912,-0.879202,0.9
11,0,-7.00315,-0.00614666,1
11,1,-4.03,0.81724,0.9
11,2,-3.67661,-0.840349,0.9
12,0,-7.00885,0.00174998,1
12,1,-4.00629,0.699277,0.9
12,2,-3.64753,-0.791926,0.9
13,0,-7.01376,0.00937033,1
13,1,-3.97528,0.600466,0.9
13,2,-3.61411,-0.719081,0.9
14,0,-7.01743,0.0155113,1
14,1,-3.93869,0.529656,0.9
14,2,-3.57924,-0.61845,0.9
15,0,-7.01955,0.0192034,1
15,1,-3.89916,0.482523,0.9
15,2,-3.54608,-0.499734,0.9
16,0,-7.01992,0.0198637,1
16,1,-3.85976,0.443609,0.9
16,2,-3.51748,-0.381144,0.9
17,0,-7.01852,0.0173879,1
17,1,-3.82355,0.393592,0.9
17,2,-3.49559,-0.280828,0.9
18,0,-7.01546,0.012167,1
18,1,-3.7931,0.31837,0.9
18,2,-3.48151,-0.208342,0.9
19,0,-7.01101,0.0050252,1
19,1,-3.77005,0.215695,0.9
19,2,-3.47508,-0.160151,0.9
20,0,-7.00559,-0.00291,1
20,1,-3.75489,0.0962325,0.9
20,2,-3.47495,-0.121295,0.9
21,0,-6.99966,-0.0103858,1
21,1,-3.74685,-0.0214583,0.9
21,2,-3.47878,-0.0724242,0.9
22,0,-6.99377,-0.0162219,1
22,1,-3.74405,-0.119651,0.9
22,2,-3.48359,0.00110295,0.9
23,0,-6.98843,-0.0194969,1
23,1,-3.74376,-0.189788,0.9
23,2,-3.48625,0.10233,0.9
