replan_step,plan_type,iter,num_disks,min_sd_seed,min_sd_prediction
0,psd,1000,54,2.00007,1.94014
6,psd,1000,54,2.53098,2.53098
12,psd,1000,54,2.30914,2.30914
18,psd,1000,54,3.47329,2.64434
24,nominal,24,0,4.83474,3.59996
30,psd,1000,54,2.52523,2.49336
36,psd,1000,54,2.93785,2.93785
42,psd,1000,54,2.8127,2.8127
48,psd,1000,54,2.87683,2.87683
54,psd,1000,54,3.17119,3.17119
60,psd,1000,54,3.35098,3.35098
66,nominal,24,0,3.5518,3.5518
72,nominal,7,0,3.9812,3.9812
78,nominal,2,0,4.33734,4.33734
84,nominal,1,0,4.67525,4.67525
