k,x1,x2,x3,x4,u1,u2,signed_dist,iter
0,-10,0.1,0,0,1.22255,0.0118863,3.001,1000
1,-9.38872,0.105943,1.22255,0.0118863,-0.482954,-0.349709,2.39,1000
2,-8.40765,-0.0570252,0.7396,-0.337823,-0.0893544,1.72711,1.40812,1000
3,-7.71272,0.468707,0.650245,1.38929,1.59144,0.65633,0.752918,1000
4,-6.26676,2.18616,2.24168,2.04562,-0.198742,-1.58605,0.526654,1000
5,-4.12445,3.43875,2.04294,0.459567,-1.04809,-1.2224,1.54847,1000
6,-2.60555,3.28712,0.994852,-0.762837,-0.112178,-0.619788,2.06676,1000
7,-1.66679,2.21439,0.882675,-1.38262,-0.116252,0.185001,2.00173,1000
8,-0.84224,0.924263,0.766423,-1.19762,-0.302278,0.662389,2.25925,1000
9,-0.226956,0.0578335,0.464144,-0.535235,-0.256225,0.390341,2.77339,1000
10,0.109076,-0.282231,0.207919,-0.144894,-0.191602,0.215089,3.11686,1000
11,0.221194,-0.31958,0.0163176,0.0701947,-0.0742906,0.00784927,3.23097,1000
12,0.200366,-0.245461,-0.057973,0.078044,-0.0187057,0.00666401,3.20616,1000
13,0.13304,-0.164085,-0.0766787,0.084708,0.0236126,-0.0147246,3.13566,1000
14,0.0681681,-0.0867394,-0.0530661,0.0699834,0.0278802,-0.0258947,3.06891,1000
15,0.0290421,-0.0297034,-0.0251859,0.0440886,0.00921177,-0.0241403,3.02913,1000
16,0.00846212,0.00231513,-0.0159741,0.0199483,0.00813253,-0.0150363,3.00846,1000
17,-0.00344575,0.0147453,-0.00784161,0.00491199,0.00775112,-0.00918715,2.99658,1000
18,-0.0074118,0.0150637,-9.04926e-05,-0.00427515,0.00248269,-0.00183389,2.99261,1000
19,-0.00626095,0.00987162,0.0023922,-0.00610904,-8.94468e-05,0.00178246,2.99375,1000
20,-0.00391348,0.00465381,0.00230275,-0.00432658,-0.000827997,0.00208378,2.99609,1000
21,-0.00202473,0.00136911,0.00147475,-0.0022428,-0.000663543,0.00140391,2.99798,1000
22,-0.000881749,-0.000171734,0.000811209,-0.000838893,-0.000419025,0.000840468,2.99912,1000
23,-0.000280053,-0.000590394,0.000392184,1.57463e-06,-0.000236189,0.000213229,2.99972,1000
24,-5.96254e-06,-0.000482204,0.000155996,0.000214804,-0.000127064,-1.39123e-05,2.99999,1000
25,8.65011e-05,-0.000274356,2.89316e-05,0.000200892,-7.14253e-05,-8.73686e-05,3.00009,1000
26,7.972e-05,-0.000117149,-4.24938e-05,0.000113523,1.61865e-06,-5.21773e-05,3.00008,1000
27,3.80356e-05,-2.97144e-05,-4.08751e-05,6.13459e-05,6.29409e-06,-3.48183e-05,3.00004,1000
28,3.0756e-07,1.42224e-05,-3.4581e-05,2.65276e-05,2.396e-05,-2.3157e-05,3,1000
29,-2.22934e-05,2.91714e-05,-1.0621e-05,3.37058e-06,1.68594e-05,-1.17648e-05,2.99998,1000
30,-2.44847e-05,2.66596e-05,6.23842e-06,-8.39427e-06,0,0,2.99998,1000
