k,x1,x2,x3,x4,u1,u2,XX_11,XX_22,rank1_gap,signed_dist,iter
0,6,-1,0,0,-0.533014,-1.73627,36,1,0,0.219804,1000
1,5.73349,-1.86813,-0.533014,-1.73627,0.0308068,1.49352,201.471,138.472,773.033,0.192176,1000
2,5.21588,-2.85764,-0.502208,-0.242748,0.135656,-0.727986,751.197,650.132,1633.33,0.871639,1000
3,4.7815,-3.46438,-0.366551,-0.970734,-0.608089,0.722613,1270.26,1207.68,2516.03,1.4749,1000
4,4.11091,-4.07381,-0.974641,-0.24812,0.277598,0.932736,1500,1481.55,2978,2.09058,1000
5,3.27506,-3.85556,-0.697043,0.684616,-0.329492,0.354772,1500,1500,3040.53,1.90695,1000
6,2.41328,-2.99356,-1.02653,1.03939,-0.0134194,0.164007,1500,1500,3071.77,0.995654,1000
7,1.38003,-1.87217,-1.03995,1.20339,0.425631,-0.404564,1500,1500,3096.32,0.506192,1000
8,0.552893,-0.871054,-0.614323,0.798831,0.302404,-0.342953,1500,1500,3110.16,1.1747,1000
9,0.0897721,-0.243699,-0.311919,0.455878,0.182667,-0.245036,1500,1500,3112.69,1.62252,1000
10,-0.130814,0.0896604,-0.129252,0.210842,0.108164,-0.155399,1500,1500,3105.8,1.83234,1000
11,-0.205984,0.222803,-0.0210886,0.0554431,0.0563597,-0.0826497,1500,1500,3090.15,1.91514,1000
12,-0.198893,0.236921,0.0352711,-0.0272067,0.0277025,-0.0317919,1500,1500,3067.47,1.90927,1000
13,-0.149771,0.193818,0.0629736,-0.0589985,0.0128313,-0.0116687,1500,1500,3040.87,1.85685,1000
14,-0.0803814,0.128985,0.0758048,-0.0706672,-0.0271281,0.00816993,1500,1500,3016.09,1.7836,1000
15,-0.0181407,0.0624032,0.0486767,-0.0624973,-0.0371275,0.0223594,1500,1500,3001.29,1.71891,1000
16,0.0119723,0.0110856,0.0115493,-0.0401379,-0.0166316,0.0294333,1500,1500,3010.92,1.68805,1000
17,0.0152058,-0.0143357,-0.00508234,-0.0107047,0.00119311,0.014821,1500,1500,2827.84,1.68484,1000
18,0.01072,-0.0176299,-0.00388923,0.00411634,0.000679259,0.00165579,1500,1500,2572.57,1.68934,1000
19,0.00717043,-0.0126856,-0.00320997,0.00577213,-0.000587129,-0.00155605,1500,1500,2435.13,1.69286,1000
20,0.0036669,-0.00769152,-0.0037971,0.00421608,0.00282624,-0.00104935,1500,1500,2586.97,1.69634,1000
21,0.00128292,-0.00400011,-0.000970858,0.00316674,0.000582055,-0.00147328,1500,1500,2923.88,1.69872,1000
22,0.000603087,-0.00157001,-0.000388803,0.00169345,-0.000105804,-0.000351837,1500,1500,3268.9,1.6994,1000
23,0.000161382,-5.24757e-05,-0.000494607,0.00134162,0.000292769,-0.000948755,1500,1500,3380.67,1.69984,1000
24,-0.00018684,0.000814764,-0.000201838,0.000392862,0.000223456,-0.00052837,1500,1500,3196.59,1.70019,1000
25,-0.00027695,0.000943441,2.16184e-05,-0.000135507,4.72868e-05,-0.000100704,1500,1500,3006.47,1.70028,1000
26,-0.000231688,0.000757582,6.89052e-05,-0.000236212,6.04683e-06,-2.74328e-05,1500,1500,3051.06,1.70023,1000
27,-0.000159759,0.000507653,7.4952e-05,-0.000263645,-5.71644e-06,6.70077e-05,1500,1500,3300.54,1.70016,1000
28,-8.76656e-05,0.000277513,6.92356e-05,-0.000196637,-1.30688e-05,8.57243e-05,1500,1500,3548.51,1.70009,1000
29,-2.49644e-05,0.000123738,5.61668e-05,-0.000110912,-2.30021e-05,5.89849e-05,1500,1500,3546.21,1.70002,1000
30,1.97013e-05,4.23181e-05,3.31647e-05,-5.19276e-05,-3.86278e-05,2.54009e-05,1500,1500,3271.04,1.69998,1000
31,3.35521e-05,3.09099e-06,-5.46307e-06,-2.65267e-05,-6.44629e-06,1.86396e-05,1500,1500,2985.12,1.69997,1000
32,2.48659e-05,-1.41159e-05,-1.19094e-05,-7.88708e-06,1.95186e-06,9.85146e-06,1500,1500,2926.31,1.69998,1000
33,1.39325e-05,-1.70772e-05,-9.9575e-06,1.96438e-06,3.63958e-06,3.92972e-06,1500,1500,3117.76,1.69999,1000
34,5.79477e-06,-1.3148e-05,-6.31792e-06,5.8941e-06,2.23819e-06,1.63757e-06,1500,1500,3341.83,1.69999,1000
35,5.95946e-07,-6.43513e-06,-4.07973e-06,7.53166e-06,2.8158e-06,-3.32282e-06,1500,1500,3282.72,1.7,1000
36,-2.07588e-06,-5.64876e-07,-1.26393e-06,4.20884e-06,2.00172e-06,-3.24304e-06,1500,1500,2892.29,1.7,1000
37,-2.33894e-06,2.02244e-06,7.37799e-07,9.658e-07,2.96781e-07,-1.18258e-06,1500,1500,2509.13,1.7,1000
38,-1.45275e-06,2.39695e-06,1.03458e-06,-2.16782e-07,-2.1396e-07,-4.83861e-07,1500,1500,2460.45,1.7,1000
39,-5.25154e-07,1.93824e-06,8.2062e-07,-7.00644e-07,-4.11996e-07,-9.54714e-08,1500,1500,2715.48,1.7,1000
40,8.94683e-08,1.18986e-06,4.08624e-07,-7.96115e-07,-4.44484e-07,1.05139e-07,1500,1500,2972.45,1.7,1000
41,2.75851e-07,4.46316e-07,-3.58593e-08,-6.90976e-07,-1.4809e-07,5.3877e-07,1500,1500,3013.22,1.7,1000
42,1.65946e-07,2.47254e-08,-1.83949e-07,-1.52206e-07,1.14356e-07,1.21153e-07,1325.75,1500,2748.13,1.7,1000
43,3.91755e-08,-6.69039e-08,-6.95928e-08,-3.10528e-08,6.22575e-08,7.08813e-08,918.367,1263.16,2135.96,1.7,1000
44,7.11394e-10,-6.25161e-08,-7.33533e-09,3.98285e-08,0,0,448.096,711.05,1289.91,1.7,1000
