k,x1,x2,u1,u2,sd_min,iter
0,-8,-4,3,2.91017,2.05594,1000
1,-6.5,-2.54492,0.338554,-1.26708,0.570314,1000
2,-3.33072,-0.268285,-1.71742,-1.59939,-1.77636e-15,1000
3,-0.85088,0.57511,-1.25556,-0.362826,0.43129,1000
4,0.14247,0.437396,-0.467053,0.0986946,1.21733,1000
5,0.274512,0.167617,-0.0431067,0.142164,1.49706,1000
6,0.151475,0.0182667,0.0704074,0.0731684,1.51397,1000
7,0.0420874,-0.0234175,0.0557217,0.0183042,1.43454,1000
8,-0.00423528,-0.0193653,0.0219588,-0.00338631,1.40586,1000
9,-0.0117177,-0.00785427,0.00272769,-0.00611806,1.40923,1000
10,-0.0068568,-0.00109539,-0.00284638,-0.0033312,1.4175,1000
11,-0.00205528,0.000938861,-0.00246132,-0.000908414,1.42087,1000
12,9.23839e-05,0.0008533,-0.0010258,0.0001045,1.42239,1000
13,0.000496489,0.000365782,-0.00015744,0.000261573,1.42302,1000
14,0.000308972,6.13006e-05,0.000113105,0.000150955,1.42312,1000
15,9.92887e-05,-3.69165e-05,0.000108195,4.44846e-05,1.42299,1000
16,2.54945e-07,-3.74136e-05,4.76373e-05,-2.53902e-06,1.42292,1000
17,-2.08629e-05,-1.69379e-05,8.60496e-06,-1.1103e-05,1.42292,1000
18,-1.38596e-05,-3.2833e-06,-4.3965e-06,-6.80935e-06,1.42294,1000
19,-4.75208e-06,1.41518e-06,-4.73202e-06,-2.15409e-06,1.42295,1000
20,-2.08815e-07,1.63195e-06,-2.20004e-06,1.69501e-08,1.42295,1000
21,8.68418e-07,7.8014e-07,-4.53483e-07,4.67501e-07,1.42295,1000
22,6.1889e-07,1.70558e-07,1.65935e-07,3.05769e-07,1.42295,1000
23,2.25587e-07,-5.23876e-08,2.05862e-07,1.03309e-07,1.42295,1000
24,1.81829e-08,-7.07946e-08,1.01076e-07,3.59395e-09,1.42295,1000
25,-3.57523e-08,-3.575e-08,2.3279e-08,-1.9505e-08,1.42295,1000
26,-2.75099e-08,-8.66095e-09,-6.00586e-09,-1.36683e-08,1.42295,1000
27,-1.0631e-08,1.84145e-09,-8.90527e-09,-4.91313e-09,1.42295,1000
28,-1.20762e-09,3.05313e-09,-4.6207e-09,-3.55908e-10,1.42295,1000
29,1.45277e-09,1.63029e-09,-1.17132e-09,8.05198e-10,1.42295,1000
30,1.21714e-09,4.32087e-10,2.03672e-10,6.08213e-10,1.42295,1000
31,4.97689e-10,-5.94066e-11,3.82889e-10,2.31914e-10,1.42295,1000
32,7.15185e-11,-1.30836e-10,2.10227e-10,2.46304e-11,1.42295,1000
33,-5.80937e-11,-7.39943e-11,5.80081e-11,-3.28273e-11,1.42295,1000
34,-5.35882e-11,-2.12507e-11,-6.15243e-12,-2.69428e-11,1.42295,1000
35,-2.31548e-11,1.60793e-12,-1.63757e-11,-1.08765e-11,1.42295,1000
36,-3.98551e-12,5.5569e-12,-9.55252e-12,-1.48176e-12,1.42295,1000
37,2.21964e-12,3.32671e-12,-2.83258e-12,1.35596e-12,1.42295,1000
38,2.23224e-12,1.03361e-12,3.02836e-13,1.27288e-12,1.42295,1000
39,9.79975e-13,5.49416e-14,0,0,1.42295,1000
